ID,Company,Job Scope,Total Project Cost,Job Scope Cost,Quantity
Q0001,Tan & Sons,"Execution of works: Replace broken floor tiles in kitchen (small living room - basic package), inclusive of labour & materials",10287,1028.7,10
Q0002,Lim & Partners,Works include Bathroom renovation including new tiles and sanitary fittings (medium guest room - standard package) (standard quality),8552,4276.0,2
Q0003,Tan & Sons,"Execution of works: Install sliding glass shower screen (medium kitchen - standard package), inclusive of labour & materials",8620,8620.0,1
Q0004,Johnson-Morris,Works include Install aluminium windows with tinted glass (small bathroom - premium package) (standard quality),6486,810.75,8
Q0005,Eco Builders Malaysia,Professional service to plumbing for new kitchen sink and tap (medium balcony - premium package),1263,157.88,8
Q0006,Chan Brothers,Install aluminium windows with tinted glass (small living room - deluxe package) as per client’s request,3818,477.25,8
Q0007,Wong Works,Labour and material for Install new main entrance door (solid timber) (large balcony - standard package),3983,569.0,7
Q0008,"Taylor, Davis and Maldonado",Provide and complete Install kitchen base and wall cabinets (melamine finish) (medium master bedroom - deluxe package) with all necessary materials,13539,1692.38,8
Q0009,Majestic Home Reno,Install aluminium windows with tinted glass (medium bathroom - basic package) - premium finishing included,3080,342.22,9
Q0010,Global Build Sdn Bhd,Labour and material for Roof repair and waterproofing (large living room - standard package),2991,427.29,7
Q0011,Wong Works,Provide and complete Full repaint of interior walls with weatherproof coating (small dining area - premium package) with all necessary materials,5773,1443.25,4
Q0012,Lee Construction,Provide and complete Install new main entrance door (solid timber) (large living room - basic package) with all necessary materials,7252,7252.0,1
Q0013,Wong Works,Provide and complete Full repaint of interior walls with weatherproof coating (large dining area - premium package) with all necessary materials,6157,879.57,7
Q0014,Eco Builders Malaysia,"Execution of works: Install LED downlights in living room (medium dining area - deluxe package), inclusive of labour & materials",3559,711.8,5
Q0015,Chan Brothers,Bathroom renovation including new tiles and sanitary fittings (small bathroom - standard package) as per client’s request,6953,1158.83,6
Q0016,Chan Brothers,Install waterproofing membrane in bathroom (small guest room - basic package) - turnkey package,2416,302.0,8
Q0017,Chan Brothers,Install kitchen base and wall cabinets (melamine finish) (medium study room - premium package) as per client’s request,14176,2025.14,7
Q0018,Global Build Sdn Bhd,Works include Install waterproofing membrane in bathroom (large master bedroom - deluxe package) (standard quality),2644,293.78,9
Q0019,Johnson-Morris,Vendor to carry out vinyl flooring installation in bedrooms (large master bedroom - premium package),7326,732.6,10
Q0020,"Walter, Good and Vasquez",Labour and material for Full repaint of interior walls with weatherproof coating (large master bedroom - basic package),4757,594.62,8
Q0021,Chan Brothers,Labour and material for Full repaint of interior walls with weatherproof coating (medium living room - premium package),5257,876.17,6
Q0022,Happy Living Renovations,Electrical rewiring and new socket installation (small study room - standard package) - turnkey package,4721,674.43,7
Q0023,Ahmad Renovation,Supply & install service for Fix leaking concealed pipe in bathroom wall (large balcony - basic package),3370,561.67,6
Q0024,Wong Works,Professional service to roof repair and waterproofing (large kitchen - basic package),2839,709.75,4
Q0025,"Taylor, Davis and Maldonado",Professional service to install air conditioning unit (1.5hp split type) (medium balcony - basic package),3259,3259.0,1
Q0026,Tan & Sons,Labour and material for Electrical rewiring and new socket installation (large bathroom - premium package),3668,1834.0,2
Q0027,Tan & Sons,Works include Timber decking installation for outdoor area (large master bedroom - standard package) (standard quality),6866,2288.67,3
Q0028,Wong Works,Replace broken floor tiles in kitchen (small master bedroom - standard package) as per client’s request,11314,1257.11,9
Q0029,"Taylor, Davis and Maldonado",Install waterproofing membrane in bathroom (medium bathroom - deluxe package) - premium finishing included,1185,592.5,2
